"Qty","Reference(s)","Value","Vendor Code","Alternate Vedor 2","Alternate Vendor"
"3","C1, C2, C3","10u","667-ECE-A1VKS100","80-ESL106M050AC3AA","647-USA1V100MDD1TP"
"1","C4","560p","594-K561J15C0GF5TL2",,"810-FG28C0G1H561JNT0"
"8","C5, C6, C7, C8, C9, C10, C12, C13","100n","81-RCE5C1H104J2A2H3B",,"810-FG18X7R1H104KNT6"
"1","C11","330n","594-K680J15C0GF53L2",,"810-FG26C0G1H473JNT6"
"2","D1, D2","1N4001","750-1N4001-G",,
"2","FB1, FB2","Ferrite_Bead 68R","623-2743001111",,
"2","J1, J3","RCJ-012","490-RCJ-011","490-RCJ-017","490-RCJ-013"
"1","J2","Eurorack_Header_LZX",,,
"3","J4, J5, J6","Jack_Switch","PJ302M",,
"1","Q1","MMBT3904",,,
"2","R1, R8","75","603-MFR-25FTE52-75R",,
"8","R2, R5, R11, R12, R13, R14, R21, R22","1k","660-MF1/4DCT52R1001F",,
"4","R3, R15, R16, R23","499","660-MF1/4DCT52R4990F",,
"1","R4","100","603-MFR-25FTF52-100R",,
"2","R6, R7","10k",,,
"3","R9, R10, R20","3.92k","603-MFR-25FTE52-3K92",,
"3","R17, R18, R19","100",,,
"2","U1, U3","LM6172","926-LM6172IN/NOPB",,
"1","U2","LMH1980","926-LMH1980MM/NOPB",,
"1","U4","L7805","511-L7805CV",,
"1","U5","74HC14","511-L7805CV",,
